id;nom;nom_majus;cp;insee;dept;lat;long;distance
3640;Fanjeaux;FANJEAUX;11270;11136;91;43.2;2.05;1.08
3641;Félines-Termenès;FELINES TERMENES;11330;11137;91;42.983333;2.616667;1.11
3642;Fendeille;FENDEILLE;11400;11138;91;43.266667;1.95;1.39
3643;Fenouillet-du-Razès;FENOUILLET DU RAZES;11240;11139;91;43.15;2.016667;1.14
3644;Ferrals-lès-Corbières;FERRALS LES CORBIERES;11200;11140;91;43.15;2.733333;1.55
3645;Ferran;FERRAN;11240;11141;91;43.15;2.083333;0.89
3646;Festes-et-Saint-André;FESTES ET SAINT ANDRE;11300;11142;91;42.966667;2.15;1.4
3647;Feuilla;FEUILLA;11510;11143;91;42.933333;2.916667;2.23
3648;Fitou;FITOU;11510;11144;91;42.9;2.983333;2.48
3649;Fleury-d'Aude;FLEURY D AUDE;11560;11145;91;43.22838;3.135;-1
3650;Floure;FLOURE;11800;11146;91;43.183333;2.483333;0.61
3651;Fontanès-de-Sault;FONTANES DE SAULT;11140;11147;91;42.766667;2.083333;2.41
3652;Fontcouverte;FONTCOUVERTE;11700;11148;91;43.166667;2.7;1.42
3653;Fonters-du-Razès;FONTERS DU RAZES;11400;11149;91;43.233333;1.933333;1.55
3654;Fontiès-d'Aude;FONTIES D AUDE;11800;11151;91;43.183333;2.45;0.8
3655;Fontjoncouse;FONTJONCOUSE;11360;11152;91;43.05;2.783333;1.73
3656;La Force;LA FORCE;11270;11153;91;43.2;2.1;1.83
3657;Fournes-Cabardès;FOURNES CABARDES;11600;11154;91;43.35;2.4;1.6
3658;Fourtou;FOURTOU;11190;11155;91;42.916667;2.433333;1.52
3659;Fraisse-Cabardès;FRAISSE CABARDES;11600;11156;91;43.325;2.275;1.92
3660;Fraissé-des-Corbières;FRAISSE DES CORBIERES;11360;11157;91;42.966667;2.866667;2.05
3661;Gaja-et-Villedieu;GAJA ET VILLEDIEU;11300;11158;91;43.083333;2.2;0.68
3662;Gaja-la-Selve;GAJA LA SELVE;11270;11159;91;43.2;1.883333;1.64
3663;Galinagues;GALINAGUES;11140;11160;91;42.816667;2.05;2.07
3664;Gardie;GARDIE;11250;11161;91;43.066667;2.316667;0.75
3665;Generville;GENERVILLE;11270;11162;91;43.216667;1.933333;1.45
3666;Gincla;GINCLA;11140;11163;91;42.766667;2.333333;2.41
3667;Ginestas;GINESTAS;11120;11164;91;43.266667;2.883333;2.11
3668;Ginoles;GINOLES;11500;11165;91;42.866667;2.15;1.72
3669;Gourvieille;GOURVIEILLE;11410;11166;91;43.333333;1.783333;2.02
3670;Gramazie;GRAMAZIE;11240;11167;91;43.133333;2.083333;0.89
3671;Granès;GRANES;11500;11168;91;42.9;2.25;1.5
3672;Greffeil;GREFFEIL;11250;11169;91;43.083333;2.383333;1.05
3673;Gruissan;GRUISSAN;11430;11170;91;43.1;3.083333;2.86
3674;Gueytes-et-Labastide;GUEYTES ET LABASTIDE;11230;11171;91;43.066667;2;1.2
3675;Homps;HOMPS;11200;11172;91;43.266667;2.716667;1.48
3676;Hounoux;HOUNOUX;11240;11173;91;43.116667;2;1.2
3677;Les Ilhes;LES ILHES;11380;11174;91;43.35;2.4;1.6
3678;Issel;ISSEL;11400;11175;91;43.366667;1.983333;1.71
3679;Joucou;JOUCOU;11140;11177;91;42.833333;2.083333;1.95
3680;Labastide-d'Anjou;LABASTIDE D ANJOU;11320;11178;91;43.333333;1.866667;1.71
3681;Labastide-en-Val;LABASTIDE EN VAL;11220;11179;91;43.066667;2.483333;1.06
3682;Labastide-Esparbairenque;LABASTIDE ESPARBAIRENQUE;11380;11180;91;43.383333;2.416667;1.83
3683;Labécède-Lauragais;LABECEDE LAURAGAIS;11400;11181;91;43.383333;2;1.83
3684;Lacombe;LACOMBE;11310;11182;91;43.4;2.233333;1.94
3685;Ladern-sur-Lauquet;LADERN SUR LAUQUET;11250;11183;91;43.116667;2.35;0.44
